catalog_number,overview,ids
189034LF,"<p>Bell &amp; Gossett bearing assembly for B&amp;G series 100 all bronze pumps, including all pumping parts (bearings, shaft, shaft sleeve, seal kit, etc.) pre-assembled into a new pump housing. The bearing assembly also includes a volute cover gasket and a tube of B&amp;G pump lubrication oil.</p>",2983722
V50938,"<p>Bell &amp; Gossett seal ring for model 3D-8S, 3DS-8G, 3DS-8S, and 3DS-10B triple duty valves, as well as, model CB-8F and CB-8G circuit setters.</p>",2983723
110120,,2983724
110121,"<p>Bell &amp; Gossett model 790-30 bronze hot water relief valve in an angle pattern with a 3/4"" inlet and a 3/4"" outlet. This valve can be set at 30 psi and has a 790,000 BTU capacity. Cast iron or bronze safety relief valves are designed for fired and unfired hot water pressure vessels to protect against overpressure conditions. Cast iron models are used for hot water heating boilers and bronze models can be used on direct fired water heaters, or storage tanks with indirect heaters to match the BTU loads of the heat exchangers. Their maximum pressure is 125 psi and their maximum temperature is 250°F.</p>",2983725
110122,"<p>Bell &amp; Gossett model 790-36 bronze hot water relief valve in an angle pattern with a 3/4"" inlet and a 3/4"" outlet. This valve can be set at 36 psi and has a 900,000 BTU capacity. Cast iron or bronze safety relief valves are designed for fired and unfired hot water pressure vessels to protect against overpressure conditions. Cast iron models are used for hot water heating boilers and bronze models can be used on direct fired water heaters, or storage tanks with indirect heaters to match the BTU loads of the heat exchangers. Their maximum pressure is 125 psi and their maximum temperature is 250°F.</p>",2983726
790-3/4-45,,2983727
110126,"<p>Bell &amp; Gossett model 790-100 bronze hot water relief valve in an angle pattern with a 3/4"" inlet and a 3/4"" outlet. This valve can be set at 100 psi and has a 2,075,000 BTU capacity. Cast iron or bronze safety relief valves are designed for fired and unfired hot water pressure vessels to protect against overpressure conditions. Cast iron models are used for hot water heating boilers and bronze models can be used on direct fired water heaters, or storage tanks with indirect heaters to match the BTU loads of the heat exchangers. Their maximum pressure is 125 psi and their maximum temperature is 250°F.</p>",2983728
110127,"<p>Bell &amp; Gossett model 790-125 bronze hot water relief valve in an angle pattern with a 3/4"" inlet and a 3/4"" outlet. This valve can be set at 125 psi. Cast iron or bronze safety relief valves are designed for fired and unfired hot water pressure vessels to protect against overpressure conditions. Cast iron models are used for hot water heating boilers and bronze models can be used on direct fired water heaters, or storage tanks with indirect heaters to match the BTU loads of the heat exchangers. Their maximum pressure is 125 psi and their maximum temperature is 250°F.</p>",2983729
A91244,"<p>Bell &amp; Gossett coverplate for BB, CB, CC, DA, DB, and DC suction diffusers.</p>",2983730
A91273,"<p>Bell &amp; Gossett steel strainer for EE-3, FE-3, and GE-3 suction diffusers.</p>",2983731
186499LF,<p>Bell &amp; Gossett seal kit for B&amp;G pumps with 185260 bearing assemblies. Seal kits prevent the pump from leaking water at the pump shaft. It is recommend to order a new pump cover gasket when replacing the seal kit as it necessary to replace it each time the pump is opened for maintenance.</p>,2983732
109024,"<p>Bell &amp; Gossett 24 volt operator head for model CT-24, CTS-7524, and CTF-10024 Comfort-Trol zone valves.</p>",2983733
118668,"<p>Bell &amp; Gossett steel impeller, 3-3/8"" outside diameter, for B&amp;G series HV manufactured between January 1951 and December 1976, as well as, series 2 pumps manufactured between January 1951 and June 1976. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2983734
109054,"<p>Bell &amp; Gossett operator head assembly, with bonnet and sealing assembly, for Comfort-Trol zone valves.</p>",2983735
101215,"<p>Bell &amp; Gossett 2"" iron flange set, including bolts and gaskets, for model PL-75 and PL-130/2"" B&amp;G series PL iron body booster pumps. Also for B&amp;G series 2 iron body pumps and series 60 iron body pumps, including models 610S, 610T, 611S, 611T, 612S, 612T, 615S, 615T, 616S, 616T, 619T, 620T, 624S, 624T, 625S, and 625T. These flanges are also for B&amp;G series 90 iron body and all iron pumps, including models 2A and 2AA. Flanges can be purchased individually under the product code F14200.</p>",2983736
101233,,2983737
101238,,2983738
NRF-25,,2983739
P5001078,,2983741
185140LF,"<p>Bell &amp; Gossett shaft sleeve for B&amp;G series 1510 pumps with 1-1/4"" shafts.</p>",2983740
110751,,2983742
101219,"<p>Bell &amp; Gossett 2-1/2"" iron flange set, including bolts and gaskets, for model PL-130/3"" B&amp;G series PL iron body booster pump, as well as, B&amp;G series 2-1/2 iron body pumps. Flanges can be purchased individually under the product code P03560.</p>",2983743
P75612,"<p>Bell &amp; Gossett bearing cap for B&amp;G Series e-1510 pumps with a large bore impeller and a 1-5/8"" shaft sleeve diameter at mechanical seal.</p>",2983744
P82070,,2983745
117416LF,"<p>Bell &amp; Gossett model CB-1 1"" IPF circuit setter with a NPT connection and straight pattern balancing valve. Circuit setter balancing valves offer positive shut-off, a memory stop indicator, and integral, valved readout ports. These valves are designed to provide optimum system flow balance at minimum pump operating horsepower. Using a circuit setter calculator allows the user to plot and preset the valve to various settings while figuring in head loss versus flow. The valve features an adjustment knob with memory stop indicator for settings as well as read-out ports which allows a read-out meter to be attached, in turn displaying feet of water.</p>",2983746
790-80,,2983747
109017,"<p>Bell &amp; Gossett model CTS-7524 3/4"" sweat, 24-volt straight zone valve.</p>",2983748
103267,"<p>Series NRF cast iron pumps are small, reliable, in-line circulator pumps intended to pump water through closed loop systems for heating and cooling in residential and light commercial settings. The Series NRF features a maintenance-free system, with a self-cleaning particle shield protects the shaft and bearings from system start-up debris. The unique DuraGlide bearing system also contributes to trouble-free start-ups. A powerful Red Fox motor offers high starting torque, ensuring consistent start-up season after season. The Series NRF's stabilized heat-resistant, non-metallic impeller with a closed design improves overall operating efficiency. Mounting hardware and flange gaskets are included with the pump. Flanges are available separately in 3/4"", 1"", 1-1/4"", and 1-1/2"".</p>",2983749
185141,"<p>Bell &amp; Gossett stainless steel shaft sleeve kit for B&amp;G Series 1510 pumps with a small bore impeller and a 1-1/4"" shaft sleeve diameter at mechanical seal.</p>",2983750
186910,,2983751
185331,"<p>Bell &amp; Gossett 5/8"" x 7/8"" spring coupler for new style 60 series centrifugal pumps, specifically model 620T. A broken coupler indicates that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is recommended to replace the motor mounts when the pump coupling breaks.</p>",2983752
112111,"<p>Removal of air from within the water will increase heat transfer, save energy and increase heating comfort. When the fluid enters the seperator, the velocity of the fluid is decreased creating a low-pressure area.  The air then rises to the built-in air vent. The deaerated water then continues though the system.</p>",2983753
186002NG,"<p>Bell &amp; Gossett ball bearing for the pump end on B&amp;G bearing assembly models 185011, 185012, 185013, 185321, and P85005; used on series 1510 and e-1510 pumps.</p>",2983754
189161,,2983755
101217,"<p>Bell &amp; Gossett 3"" iron flange set, including bolts and gaskets, for B&amp;G series PL, HD3, and LD3 iron body booster pumps, as well as, B&amp;G series 60 iron body pumps, including models 626S, 626T, 627S, and 627T. Flanges can be purchased individually under the product code F74000.</p>",2983756
110752,,2983757
107020,"<p>Bell &amp; Gossett model SA-1-1/2"" threaded, combination straight or angle-pattern flow-control valve. Its ductile iron body is rated to 125 psi and 250°F. Flo-Control valves prevent gravity flow in forced water systems and permit operation of indirect water heaters during both summer and winter. With a pressure drop of 1 to 6.5 feet of water this valve will perform from 1 to 41 GPM. See performance curves for your exact flow rate.</p>",2983758
118098,,2983759
A91559,<p>Bell &amp; Gossett steel baffle for FF-3 and GF-3 suction diffusers.</p>,2983760
A91274,<p>Bell &amp; Gossett steel strainer for FF-3 and GF-3 suction diffusers.</p>,2983761
CP-811-443-269,,2983762
P78794,<p>Bell &amp; Gossett/Woods (8S) coupler sleeve for B&amp;G series 1510 pumps for use between the pump and motor flanges.</p>,2983763
118436LF,,2983765
118666,"<p>Bell &amp; Gossett steel impeller, 3-5/16"" outside diameter, for B&amp;G series 1-1/4 manufactured between January 1951 and June 1976, as well as, series 1-1/2 pumps manufactured between January 1951 and September 1976. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2983764
P45532,"<p>Bell &amp; Gossett/Lovejoy rubber coupler cushion for couplers 186871, 186872, 186873, 186874, P63239, and P63240 on B&amp;G series 1510 pumps.</p>",2983766
G87000,,2983767
F-3TU,,2983768
112099,<p>The B&amp;G In-Line Air Separator is specially designed to efficiently separate air from circulation water in hydronic heating and cooling systems to assure efficient and quiet operation.</p>,2983769
186572,,2983770
117402LF,"<p>Bell &amp; Gossett model CB-1-1/4S 1-1/4"" IPF circuit setter with a sweat connection and straight pattern balancing valve. Circuit setter balancing valves offer positive shut-off, a memory stop indicator, and integral, valved readout ports. These valves are designed to provide optimum system flow balance at minimum pump operating horsepower. Using a circuit setter calculator allows the user to plot and preset the valve to various settings while figuring in head loss versus flow. The valve features an adjustment knob with memory stop indicator for settings as well as read-out ports which allows a read-out meter to be attached, in turn displaying feet of water.</p>",2983771
185025,"<p>Bell &amp; Gossett stainless steel shaft sleeve for B&amp;G series 1531 and 80 pumps with 1-1/4"" shafts.  Replaces 185024LF shaft sleeve.</p>",2983772
185143,"<p>Bell &amp; Gossett stainless steel shaft sleeve kit for B&amp;G Series e-1510 pumps with a large bore impeller and a 1-5/8"" shaft sleeve diameter at the mechanical seal.</p>",2983773
186003,"<p>Bell &amp; Gossett 5/8"" x 5/8"" coupler for PD-38, PD-39, and PD-40 booster pumps, comprised of two flanges and one rubber sleeve. A broken coupler indicates that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is recommended to replace the motor mounts when the pump coupling breaks.</p>",2983774
110197,,2983775
110129,"<p>Bell &amp; Gossett model 1170-30 bronze hot water relief valve in an angle pattern with a 1"" inlet and a 1"" outlet. This valve can be set at 30 psi and has a 1,170,000 BTU capacity. Cast iron or bronze safety relief valves are designed for fired and unfired hot water pressure vessels to protect against overpressure conditions. Cast iron models are used for hot water heating boilers and bronze models can be used on direct fired water heaters, or storage tanks with indirect heaters to match the BTU loads of the heat exchangers. Their maximum pressure is 125 psi and their maximum temperature is 250°F.</p>",2983776
P61970,<p>Bell &amp; Gossett motor bracket for B&amp;G series 60 pumps.</p>,2983777
189577LF,"<p>Bell &amp; Gossett seal kit for B&amp;G series PL pumps, specifically models PL-55 and PL-55B. Seal kits prevent the pump from leaking water at the pump shaft. It is recommend to order a new pump cover gasket when replacing the seal kit as it necessary to replace it each time the pump is opened for maintenance.</p>",2983778
117464,,2983779
118434,"<p>Bell &amp; Gossett brass impeller, 2-3/4"" outside diameter, for B&amp;G series 1 booster pumps. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2983780
A91560,"<p>Bell &amp; Gossett A91560 - Baffle Steel GG-3, HG-3 Suction Diffusers</p>",2983781
112113,"<p>Removal of air from within the water will increase heat transfer, save energy and increase heating comfort. When the fluid enters the seperator, the velocity of the fluid is decreased creating a low-pressure area.  The air then rises to the built-in air vent. The deaerated water then continues though the system.</p>",2983782
G87500,,2983783
V51756,,2983784
185024LF,"<p>Bell &amp; Gossett shaft sleeve for B&amp;G series 1531 and 80 pumps with 1-1/4"" shafts.</p>",2983785
118830,"<p>Bell &amp; Gossett steel impeller, 4-1/4"" outside diameter, for B&amp;G series PR pumps. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2983786
117103LF,"<p>Bell &amp; Gossett model CB-1-1/4 1-1/4"" IPF circuit setter with a NPT connection and straight pattern balancing valve. Circuit setter balancing valves offer positive shut-off, a memory stop indicator, and integral, valved readout ports. These valves are designed to provide optimum system flow balance at minimum pump operating horsepower. Using a circuit setter calculator allows the user to plot and preset the valve to various settings while figuring in head loss versus flow. The valve features an adjustment knob with memory stop indicator for settings as well as read-out ports which allows a read-out meter to be attached, in turn displaying feet of water.</p>",2983787
117632,,2983788
110132,"<p>Bell &amp; Gossett model 1170-50 bronze hot water relief valve in an angle pattern with a 1"" inlet and a 1"" outlet. This valve can be set at 50 psi and has a 1,710,000 BTU capacity. Cast iron or bronze safety relief valves are designed for fired and unfired hot water pressure vessels to protect against overpressure conditions. Cast iron models are used for hot water heating boilers and bronze models can be used on direct fired water heaters, or storage tanks with indirect heaters to match the BTU loads of the heat exchangers. Their maximum pressure is 125 psi and their maximum temperature is 250°F.</p>",2983789
110133,"<p>Bell &amp; Gossett model 1170-75 bronze hot water relief valve in an angle pattern with a 1"" inlet and a 1"" outlet. This valve can be set at 75 psi and has a 2,385,000 BTU capacity. Cast iron or bronze safety relief valves are designed for fired and unfired hot water pressure vessels to protect against overpressure conditions. Cast iron models are used for hot water heating boilers and bronze models can be used on direct fired water heaters, or storage tanks with indirect heaters to match the BTU loads of the heat exchangers. Their maximum pressure is 125 psi and their maximum temperature is 250°F.</p>",2983790
1170-100,,2983791
G3233018196,,2983792
117403LF,"<p>Bell &amp; Gossett model CB-1-1/2S 1-1/2"" IPF circuit setter with a sweat connection and straight pattern balancing valve. Circuit setter balancing valves offer positive shut-off, a memory stop indicator, and integral, valved readout ports. These valves are designed to provide optimum system flow balance at minimum pump operating horsepower. Using a circuit setter calculator allows the user to plot and preset the valve to various settings while figuring in head loss versus flow. The valve features an adjustment knob with memory stop indicator for settings as well as read-out ports which allows a read-out meter to be attached, in turn displaying feet of water.</p>",2983793
118435,"<p>Bell &amp; Gossett brass impeller, 3-5/16"" outside diameter, for B&amp;G series 1-1/4 manufactured between January 1951 and June 1976, as well as, series 1-1/2 pumps manufactured between January 1951 and September 1976. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2983794
112100,<p>The B&amp;G In-Line Air Separator is specially designed to efficiently separate air from circulation water in hydronic heating and cooling systems to assure efficient and quiet operation.</p>,2983795
186868,"<p>Bell &amp; Gossett 1"" x 5/8"" complete coupler for series 1510 pumps with 1/2 to 3/4 HP motors and a 56 frame. A broken coupler indicates that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is recommended to replace the motor mounts when the pump coupling breaks.</p>",2983796
186869,"<p>Bell &amp; Gossett 1"" x 7/8"" complete coupler for series 1510 pumps with 1 to 3 HP motors, as well as, 143T, 145T, 183, and 184 frames. A broken coupler indicates that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is recommended to replace the motor mounts when the pump coupling breaks.</p>",2983797
186877,,2983798
P76167,"<p>Bell &amp; Gossett thrust bearing cover for sizes 4x4x9-1/4, 4x4x9-3/4, 5x5x9-3/4, 5x5x9-3/4B, 5x5x12, 5x5x12B, 6x6x9-3/4, 6x8x9-3/4, 6x8x9-3/4H, 4x4x9-1/4L, 5x5x12L, and 6x8x9-3/4HL B&amp;G series VSC pumps, as well as, sizes 5x6x9-3/4, 5x6x9-3/4B, 5x6x12, 5x6x12B, 6x8x9-3/4, 6x8x9-3/4H, 5x6x12B, 5x6x12L, and 6x8x9-3/4HL B&amp;G series VSCS pumps.</p>",2983799
P76169,"<p>Bell &amp; Gossett radial bearing cover for sizes 4x4x9-1/4, 4x4x9-3/4, 5x5x9-3/4, 5x5x9-3/4B, 5x5x12, 5x5x12B, 6x6x9-3/4, 6x8x9-3/4, 6x8x9-3/4H, 4x4x9-1/4L, 5x5x12L, and 6x8x9-3/4HL B&amp;G series VSC pumps, as well as, sizes 5x6x9-3/4, 5x6x9-3/4B, 5x6x12, 5x6x12B, 6x8x9-3/4, 6x8x9-3/4H, 5x6x12B, 5x6x12L, and 6x8x9-3/4HL B&amp;G series VSCS pumps.</p>",2983800
117643,,2983801
118708,"<p>Bell &amp; Gossett 3/4"" x 5/8"" coupler for PD-35 and PD-37 booster pumps. A broken coupler indicates that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is recommended to replace the motor mounts when the pump coupling breaks.</p>",2983802
185241,"<p>Bell &amp; Gossett front bearing for B&amp;G model 185260, 185261, 185262, 185264, and 185265 bearing assemblies on series PD and 60 pumps. It is recommended to repair both the front and rear bearings at the same time.</p>",2983803
P84985,,2983804
186433,<p>Bell &amp; Gossett seal kit for B&amp;G series 60 pumps with 185261 bearing assemblies. Seal kits prevent the pump from leaking water at the pump shaft. It is recommend to order a new pump cover gasket when replacing the seal kit as it necessary to replace it each time the pump is opened for maintenance.</p>,2983805
A91275,"<p>Bell &amp; Gossett A91275 - Steel Strainer GG-3, HG-3 Suction Diffusers</p>",2983806
P2002449,,2983807
P85248,,2983809
P76152,"<p>Bell &amp; Gossett thrust bearing cover for sizes 6x6x9-3/4B, 6x6x12, 8x8x10-1/2, 8x8x13, 8x8x13B, 6x6x9-3/4L, 6x6x12L, and 8x8x11-3/4L B&amp;G series VSC pumps, as well as, sizes 4x5x14-3/4, 5x6x15-1/2, 6x8x9-3/4B, 6x8x12, 8x10x10-1/2, 8x10x13, 8x10x13B, 10x12x11, 8x10x17L, 6x8x9-3/4L, 6x8x12L, 8x10x11-3/4L, and 10x12,11-3/4L B&amp;G series VSCS pumps.</p>",2983808
117104LF,"<p>Bell &amp; Gossett model CB-1-1/2 1-1/2"" IPF circuit setter with a NPT connection and straight pattern balancing valve. Circuit setter balancing valves offer positive shut-off, a memory stop indicator, and integral, valved readout ports. These valves are designed to provide optimum system flow balance at minimum pump operating horsepower. Using a circuit setter calculator allows the user to plot and preset the valve to various settings while figuring in head loss versus flow. The valve features an adjustment knob with memory stop indicator for settings as well as read-out ports which allows a read-out meter to be attached, in turn displaying feet of water.</p>",2983810
V50922,"<p>Bell &amp; Gossett valve stem for model 3D-2S, 3DS-2G, 3DS-2S, 3D-2-1/2, 3DS-2-1/2S, 3DS-2-1/2G, and 3DS-3B triple duty valves.</p>",2983811
112105,"<p>Removal of air from within the water will increase heat transfer, save energy and increase heating comfort. When the fluid enters the seperator it goes across a stainless steel baffle and brush assembly that causes the air sticks to the wire brushes then rise to the top-mounted air vent. The deaerated water then continues though the system.</p>",2983812
F54200,,2983813
189162,,2983814
185240,"<p>Bell &amp; Gossett rear bearing for B&amp;G model 185260, 185261, 185262, 185264, and 185265 bearing assemblies on series PD and 60 pumps. It is recommended to repair both the front and rear bearings at the same time.</p>",2983815
SCS21V,,2983817
109500,"<p>Bell &amp; Gossett 1/2"" sweat Snap zone valve with 4-wire actuator. This valve has a working temperature range of 32-212°F, a maximum working pressure of 240 psi, and a maximum pressure differential close-off of 60 psi. Snap zone valves feature soft-close technology to suppress water hammer, a visual indicator, and 360&amp;deg installation.</p>",2983816
185337LF,"<p>Bell &amp; Gossett bearing assembly repair kit for B&amp;G model 185333, 185334, 185360, 185361, 185361, and 185366 bearing assemblies on Series PD and 60 pumps. The repair kit contains repair parts (shaft, bearings, etc.) pre-assembled to a new faceplate that is inserted into the bearing assembly cast. Seal kit sold separately.</p>",2983818
P76149,"<p>Bell &amp; Gossett radial bearing cover for sizes 6x6x9-3/4B, 6x6x12, 8x8x10-1/2, 8x8x13, 8x8x13B, 6x6x9-3/4L, 6x6x12L, and 8x8x11-3/4L B&amp;G series VSC pumps, as well as, sizes 4x5x14-3/4, 5x6x15-1/2, 6x8x9-3/4B, 6x8x12, 8x10x10-1/2, 8x10x13, 8x10x13B, 10x12x11, 8x10x17L, 6x8x9-3/4L, 6x8x12L, 8x10x11-3/4L, and 10x12,11-3/4L B&amp;G series VSCS pumps.</p>",2983819
186571,,2983820
189163,,2983821
185022,"<p>Bell &amp; Gossett 1-5/8"" stainless steel shaft sleeve for Series e-1510 and e-1532 pumps.</p>",2983822
SZV-075S-4WE,,2983823
118676,"<p>Bell &amp; Gossett steel impeller, 3-7/8"" outside diameter, for B&amp;G series LD3 and 2-1/2 booster pumps. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2983824
A91558,"<p>Bell &amp; Gossett steel baffle for EE-3, FE-3, and GE-3 suction diffusers.</p>",2983825
P2000134,,2983826
109502,"<p>Bell &amp; Gossett 1"" sweat Snap zone valve with 4-wire actuator. This valve has a working temperature range of 32-212°F, a maximum working pressure of 240 psi, and a maximum pressure differential close-off of 60 psi. Snap zone valves feature soft-close technology to suppress water hammer, a visual indicator, and 360&amp;deg installation.</p>",2983827
118675,"<p>Bell &amp; Gossett steel impeller, 4-1/4"" outside diameter, for B&amp;G series HD3 pumps. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2983828
CP-811-443-295,,2983829
103350,"<p>Series NRF cast iron pumps are small, reliable, in-line circulator pumps intended to pump water through closed loop systems for heating and cooling in residential and light commercial settings. The Series NRF features a maintenance-free system, with a self-cleaning particle shield protects the shaft and bearings from system start-up debris. The unique DuraGlide bearing system also contributes to trouble-free start-ups. A powerful Red Fox motor offers high starting torque, ensuring consistent start-up season after season. The Series NRF's stabilized heat-resistant, non-metallic impeller with a closed design improves overall operating efficiency. Mounting hardware and flange gaskets are included with the pump. Flanges are available separately in 3/4"", 1"", 1-1/4"", and 1-1/2"".</p>",2983830
118440,"<p>Bell &amp; Gossett brass impeller, 3-7/8"" outside diameter, for B&amp;G series LD3 and 2-1/2 booster pumps. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2983831
186860,<p>Bell &amp; Gossett seal kit for B&amp;G series 3530. Seal kits prevent the pump from leaking water at the pump shaft. It is recommend to order a new pump cover gasket when replacing the seal kit as it necessary to replace it each time the pump is opened for maintenance.</p>,2983832
P90282,"<p>Bell &amp; Gossett shaft collar for B&amp;G series VSC-D pumps, sizes 10x10x13 through 12x14x17-1/2 with 2-5/8"" shafts.</p>",2983833
P76875,"<p>Bell &amp; Gossett impeller nut for B&amp;G series VSC and VSCS pumps. The impeller nut screws onto the end of the pump shaft, securing the impeller in place.</p>",2983834
112117,"<p>Removal of air from within the water will increase heat transfer, save energy and increase heating comfort. When the fluid enters the seperator, the velocity of the fluid is decreased creating a low-pressure area.  The air then rises to the built-in air vent. The deaerated water then continues though the system.</p>",2983835
117404LF,"<p>Bell &amp; Gossett model CB-2S 2"" IPF circuit setter with a sweat connection and straight pattern balancing valve. Circuit setter balancing valves offer positive shut-off, a memory stop indicator, and integral, valved readout ports. These valves are designed to provide optimum system flow balance at minimum pump operating horsepower. Using a circuit setter calculator allows the user to plot and preset the valve to various settings while figuring in head loss versus flow. The valve features an adjustment knob with memory stop indicator for settings as well as read-out ports which allows a read-out meter to be attached, in turn displaying feet of water.</p>",2983836
106507,"<p>Series LR-20WR cast iron pumps are dependable, in-line circulator pumps intended to pump water through closed loop systems for heating and cooling. The Series LR features a maintenance-free system, with liquid lubricated bearings and a non-overloading permanent split capacitor motor. The Series LR motor has impedance protection, which ensures quiet operation. This Series LR pump is non-submersible and for indoor use only. Mounting hardware and flange gaskets are included with the pump. Flanges are available separately in 3/4"", 1"", 1-1/4"", and 1-1/2"".</p>",2983837
P49136,,2983838
185230,,2983839
185309,,2983840
186870,"<p>Bell &amp; Gossett 1"" x 1-1/8"" complete coupler for series 1510 pumps with 2, 3, 5, and 7-12 HP motors, as well as, 182 and 184 frames. A broken coupler indicates that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is recommended to replace the motor mounts when the pump coupling breaks.</p>",2983841
P57246,<p>Bell &amp; Gossett cover plate for Series 60 pumps with large bearing frames.</p>,2983842
P77279,"<p>Bell &amp; Gossett 5/8"" x 5/8"" spring coupler for model 60-9, 60-17, and 60-19 series 60 pumps with 1 HP motors. A broken coupler indicates that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is recommended to replace the motor mounts when the pump coupling breaks.</p>",2983843
117105LF,"<p>Bell &amp; Gossett model CB-2 2"" IPF circuit setter with a NPT connection and straight pattern balancing valve. Circuit setter balancing valves offer positive shut-off, a memory stop indicator, and integral, valved readout ports. These valves are designed to provide optimum system flow balance at minimum pump operating horsepower. Using a circuit setter calculator allows the user to plot and preset the valve to various settings while figuring in head loss versus flow. The valve features an adjustment knob with memory stop indicator for settings as well as read-out ports which allows a read-out meter to be attached, in turn displaying feet of water.</p>",2983844
A91561,<p>Bell &amp; Gossett steel baffle for HH-3X and JH-3X suction diffusers.</p>,2983846
103257,,2983847
186658,<p>Bell &amp; Gossett rear bearing for B&amp;G model 186660 bearing assemblies on series 1510 pumps. It is recommended to repair both the front and rear bearings at the same time.</p>,2983845
107021,"<p>Bell &amp; Gossett model SA-2"" threaded, combination straight or angle-pattern flow-control valve. Its ductile iron body is rated to 125 psi and 250°F. Flo-Control valves prevent gravity flow in forced water systems and permit operation of indirect water heaters during both summer and winter. With a pressure drop of 1 to 6 feet of water this valve will perform from 1 to 46 GPM. See performance curves for your exact flow rate.</p>",2983848
118339,,2983849
ZTV-4,,2983851
118612,,2983850
52-121-998-803,,2983853
111034,"<p>Bell &amp; Gossett 1/12 HP, 115 volt, single phase, 1725 RPM, oil-lubricated motor for B&amp;G series 100 pumps. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized. </p>",2983852
M19628,,2983854
NBF-12U/LW,,2983855
189165LF,"<p>Bell &amp; Gossett bearing assembly for B&amp;G series HV and 2 pumps, as well as series 1-1/2 iron body pumps manufactured from February 1976 to September 1976. It includes all pumping parts (bearings, shaft, shaft sleeve, seal kit, etc.) pre-assembled into a new pump housing. The bearing assembly also includes a volute cover gasket and a tube of B&amp;G pump lubrication oil.</p>",2983856
A91276,<p>Bell &amp; Gossett steel strainer for HH-3X and JH-3X suction diffusers.</p>,2983857
189105LF,"<p>Bell &amp; Gossett bearing assembly for B&amp;G series HD3, LD3, PR, and 2-1/2 pumps, including all pumping parts (bearings, shaft, shaft sleeve, seal kit, etc.) pre-assembled into a new pump housing. The bearing assembly also includes a volute cover gasket and a tube of B&amp;G pump lubrication oil.</p>",2983858
118629,"<p>Bell &amp; Gossett steel impeller, 5-1/4"" outside diameter, for B&amp;G series PD, 60, and 1522 pumps, specifically models PD-37, 1522 1-1/2"" AAB, 60-4, and 60-14. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2983859
186360,,2983860
P07792,"<p>Bell &amp; Gossett brass impeller, with a 3-3/8"" outside diameter, for B&amp;G series HV and 2 all-bronze booster pumps. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2983861
103260LF,"<p>Series NBF bronze body pumps are dependable, in-line wet rotor circulator pumps specifically intended to pump potable, domestic water from hot water heater tanks to areas such as bathrooms and kitchens. The Series NRF features a maintenance-free system, with a self-cleaning particle shield protects the shaft and bearings from system start-up debris. The unique DuraGlide bearing system also contributes to trouble-free start-ups. A powerful Red Fox motor offers high starting torque, ensuring consistent start-up season after season. The Series NBF's stabilized heat-resistant, non-metallic impeller with a closed design improves overall operating efficiency. Mounting hardware and flange gaskets are included with the pump. Flanges are available separately in 3/4"", 1"", 1-1/4"", and 1-1/2"".</p>",2983862
112106,"<p>Removal of air from within the water will increase heat transfer, save energy and increase heating comfort. When the fluid enters the seperator it goes across a stainless steel baffle and brush assembly that causes the air sticks to the wire brushes then rise to the top-mounted air vent. The deaerated water then continues though the system.</p>",2983863
P49130,,2983864
NBF-10S/LW,,2983865
A91562,<p>Bell &amp; Gossett steel baffle for JJ-3 suction diffusers.</p>,2983867
SSF-12,,2983866
127001,<p>This in-line visual flow balancer installed in each circuit or zone will allow balancing the flow to meet exact demands of the designed ciculation.</p>,2983868
127002,<p>This in-line visual flow balancer installed in each circuit or zone will allow balancing the flow to meet exact demands of the designed ciculation.</p>,2983869
186359,"<p>Bell &amp; Gossett brass impeller, 5-1/4"" outside diameter, for B&amp;G series 60 and 1522 pumps, specifically models 1522 1"" AAB, 1522 3/4"" AAB, 60-1, 60-2, 1"" AA, and 1-1/4"" AA. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2983870
